variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
stabilitymethod,0,Defines which atmospheric stability functions are used.,`StabilityMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-stabilitymethod>`_,Scalar
storageheatmethod,0,Determines method for calculating storage heat flux ΔQS.,`StorageHeatMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-storageheatmethod>`_,Scalar
tstep,0,Specifies the model time step [s].,`Tstep <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/Time_related_options.html#cmdoption-arg-tstep>`_,Scalar
veg_type,0,Internal use. Please DO NOT modify,None,Scalar
waterusemethod,0,Defines how external water use is calculated.,`WaterUseMethod <https://suews-docs.readthedocs.io/en/latest/input_files/RunControl/scheme_options.html#cmdoption-arg-waterusemethod>`_,Scalar
albdectr_id,0,Albedo of deciduous surface `DecTr` on day 0 of run,`albDecTr0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-albdectr0>`_,Scalar
albevetr_id,0,Albedo of evergreen surface `EveTr` on day 0 of run,`albEveTr0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-albevetr0>`_,Scalar
albgrass_id,0,Albedo of grass surface `Grass` on day 0 of run,`albGrass0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-albgrass0>`_,Scalar
decidcap_id,0,Storage capacity of deciduous surface `DecTr` on day 0 of run.,`decidCap0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-decidcap0>`_,Scalar
porosity_id,0,Porosity of deciduous vegetation on day 0 of run.,`porosity0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Vegetation_parameters.html#cmdoption-arg-porosity0>`_,Scalar
snowalb,0,Initial snow albedo,`SnowAlb0 <https://suews-docs.readthedocs.io/en/latest/input_files/Initial_Conditions/Snow_related_parameters.html#cmdoption-arg-snowalb0>`_,Scalar
